CourseCode,CourseName,Origin,Question,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,Answer,RelatedTextbook,RelatedChapter
ANAT9240,Anatomy & Physiology,P,Type of junction that serves to glue the epidermis to the dermis,,,,,,,Dermoepidermal Junction,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of skin is seen only on the hands and feet,,,,,,,Thick Skin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of cell is found in the epidermis and plays a role in immune response,,,,,,,Dendritic Cell,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The outermost layer of a hair shaft,,,,,,,Cuticle,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of skin that covers most of the body,,,,,,,Thin Skin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of cell that is responsible for healing wounds and makes fibrous connective tissue (giving it its name),,,,,,,Fibroblast,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The degree of burn that is most damaging,,,,,,,Fourth Degree,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The type of junction that binds cells together by fusing networks of keratin together in neighbouring cells,,,,,,,Desmosome,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"Dry, itchy patches on the skin caused by an allergic reaction",,,,,,,Eczema,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Name of the protein that is the precursor to keratin,,,,,,,Eleidin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The stratum of the epidermis that is only found in thick skin,,,,,,,Stratum Lucidum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The stratum of the epidermis that contains cells that produce large amounts of keratin and/or its precursor,,,,,,,Stratum Spinosum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The dermal structure (effectively bumps) that serves to increase the surface area between the dermis and epidermis to prevent issues such as blisters,,,,,,,Papillae,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The primary cell found in the epidermis,,,,,,,Keratinocyte,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"When multiple keratin proteins assemble into larger and larger structures, they create an intermediate one of these",,,,,,,Filament,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Oil-based substance secreted by the sebaceous glands,,,,,,,Sebum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The layer of skin that contains sensory receptors and blood vessels,,,,,,,Dermis,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Thick skin has these types of ridges that are not seen in thin skin,,,,,,,Friction Ridges,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The organelle that melanin works to protect from UV radiation,,,,,,,Nucleus,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The layer of the dermis that touches the dermoepidermal junction,,,,,,,Papillary Layer,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Two keratin proteins bound together are said to make this type of protein structure,,,,,,,Dimer,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The stratum of the epidermis that contain granules which serve to link keratin filaments together,,,,,,,Stratum Granulosum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The muscle that causes your hair to stand up off of your skin,,,,,,,Arrector Pili,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,A blue tint to the skin generally caused by poor circulation and low blood oxygenation,,,,,,,Cyanosis,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The type of protein found in surface film and serves as an antimicrobial agent,,,,,,,Defensin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,When hair loss is caused by autoimmune attack,,,,,,,Alopecia,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"The major protein family in skin tissue that consists of over 50 different proteins, largely grouped into ""Type I"" or ""Type II""",,,,,,,Keratin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The white crescent found under the nail bed,,,,,,,Lunula,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Using an ice pack to cool your forehead is an example of thermoregulation using this type of mechanism,,,,,,,Conduction,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Ringworm is caused by this type of microorganism,,,,,,,Fungus,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The layer of the dermis that contains glands and follicles,,,,,,,Reticular Layer,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Epithelial tissue that consists of layers of cells is said to be this,,,,,,,Stratified,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Genetic condition that results in the lack of melanin,,,,,,,Albanism,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Melanin subtype that is light orange or red in colour,,,,,,,Pheomelanin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The type of cell that is responsible for skin pigmentation,,,,,,,Melanocyte,Anatomy & Physiology,10 - Skin
